,id,artist_name,track_name,album_name,artist_genre,artist_popularity,track_popularity,artist_followers,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1204,5kLLcku7bnYYzGrzH1aRzQ,ALEPH,Schadenfreude,Schadenfreude,"['k-indie', 'korean r&b']",38,33,29001,268603,0.52,8,-7.107,0.0314,0.776,0.0,0.116,0.41,105.027,268603,4
1205,4XQnhcwRPRmGG4E6PakLMb,So!YoON!,Wings,Wings,"['k-indie', 'korean indie rock']",43,60,41385,195573,0.488,6,-8.188,0.025,0.172,0.0,0.065,0.543,100.024,195573,4
1206,5BqwC9kOBbqYkzdOKeXFFk,JANNABI,for lovers who hesitate,LEGEND,['k-indie'],52,60,223339,265000,0.431,10,-8.484,0.0284,0.705,0.000264,0.301,0.302,74.004,265000,4
1207,2bPHxBNkKpnehnmEBYuW9n,10cm,Sleepless in Seoul (Feat. LEE SUHYUN),5.2 (Feat. LEE SUHYUN),"['k-indie', 'k-pop', 'korean pop']",57,53,342172,257453,0.416,5,-6.47,0.0542,0.704,0.0,0.106,0.321,174.788,257453,3
1208,5EkkdLlRAuzjjA8oT6FN7b,O3ohn,Clouds,Clouds,"['k-indie', 'korean pop']",38,43,36479,192453,0.561,7,-7.414,0.0276,0.653,0.0448,0.0926,0.548,165.766,192453,4
1209,1f26mzPoBLP8OO67XDmwv8,Ku One Chan,Don't be sad,Don't be sad,['k-indie'],33,46,10250,210851,0.514,7,-7.466,0.0392,0.65,0.108,0.129,0.805,121.956,210851,4
1210,30tYWTkLIQtZWnRIOqcHnJ,"Car, the garden",Tree,Tree,"['k-indie', 'korean pop']",47,50,105066,232558,0.412,11,-5.978,0.0328,0.475,0.0,0.183,0.278,142.808,232558,4
1211,2psNTcUeXlI5vBt0zgehpw,1415,naps!,naps!,"['k-indie', 'korean pop']",42,46,43238,205161,0.557,0,-5.961,0.0587,0.0989,0.0,0.0738,0.336,173.546,205161,4
1212,3WhLjQxdRYrI4JjmIEFnPe,Sunwoojunga,in the bed,in the bed,"['k-indie', 'korean pop']",44,46,73097,265059,0.444,4,-6.744,0.0327,0.919,6.21e-05,0.113,0.293,174.425,265059,4
1213,4Cgct9Vlype9cYZFW2wSnk,AKMU,"Hey kid, Close your eyes (with Lee Sun Hee)",NEXT EPISODE,['k-pop'],58,52,1203824,233417,0.547,0,-7.358,0.0325,0.0513,0.000236,0.0717,0.537,129.946,233417,4
1214,4p2F176QbCzx8tyxwGmpym,ALEPH,No One Told Me Why,1,"['k-indie', 'korean r&b']",38,0,29001,223400,0.446,7,-9.269,0.0326,0.73,1.51e-05,0.118,0.127,71.98,223400,4
1215,0v89jw9S9NPzOPCoZnLZxE,ADOY,Wonder,LOVE,"['k-indie', 'korean city pop', 'korean dream pop', 'korean electropop', 'korean indie rock']",44,0,104523,235747,0.737,6,-6.317,0.0287,0.747,0.544,0.115,0.532,99.989,235747,4
1216,15iXRayrmpaA6QmtEKqpX4,ESAE,a car going nowhere,a car going nowhere,['korean electropop'],27,0,3747,227605,0.515,5,-9.345,0.0552,0.347,0.00108,0.107,0.423,120.003,227605,4
1217,7wLJ4xzxNss5abZ1kXs242,"Car, the garden",Closely Far Away,Closely Far Away,"['k-indie', 'korean pop']",47,44,105066,194547,0.389,4,-7.099,0.0242,0.373,0.0,0.132,0.169,93.037,194547,4
1218,6NE7hAW6UFEJWhv2hP6z8X,Ha Hyunsang,Lighthouse,Calibrate,"['k-pop', 'korean ost', 'korean pop', 'korean superband']",45,40,44202,225813,0.51,2,-5.815,0.0304,0.253,0.0,0.129,0.349,139.728,225813,4
1219,2dX2W20qzwqM6G910woDKo,Seori,Lovers In The Night,Lovers In The Night,"['chill r&b', 'k-pop', 'korean r&b']",56,63,193802,210547,0.785,9,-4.085,0.058,0.295,0.000807,0.169,0.5,98.036,210547,4
1220,1Ssehbv2YuNm1PlwHQlkQU,Gaho,THE,ARE YOU THERE,"['k-pop', 'korean pop']",54,43,298025,217453,0.504,0,-7.327,0.0294,0.847,3.21e-06,0.113,0.569,94.991,217453,3
1221,2yPFwTJ1tUSLH0D28u3153,CODE KUNST,For the gone(with ELLE KOREA),RECONNECT,"['k-rap', 'korean r&b']",44,46,213644,243088,0.7,7,-4.774,0.0448,0.146,0.0,0.317,0.415,132.034,243088,4
1222,1UGChD0glZlsdVBbfWbjUH,SE SO NEON,긴 꿈 A Long Dream,긴 꿈 A Long Dream,"['k-indie', 'korean city pop', 'korean indie rock']",46,0,126823,258421,0.608,9,-4.498,0.038,0.19,4.22e-05,0.0714,0.651,128.012,258421,4
1223,7xLlRiRccn2fWHibTO2Ta1,1415,When It Snows,FROM : X,"['k-indie', 'korean pop']",42,52,43238,171107,0.262,5,-8.605,0.0308,0.64,1.56e-06,0.0943,0.445,140.255,171107,3
1224,5WJtEElIz5vt7EOEGR97Yz,92914,오키나와 Okinawa,오키나와 Okinawa,"['chill pop', 'chill r&b', 'korean indie folk']",48,0,167911,348446,0.167,5,-18.467,0.0555,0.93,0.164,0.662,0.378,147.878,348446,4
1225,2LT8gtraNXInH6DZdP6jrt,Dasutt,Youth,YOUTH,"['k-indie', 'korean indie rock']",33,0,36424,361427,0.621,9,-4.456,0.0359,0.597,0.0001,0.112,0.284,133.893,361427,4
1226,3PWgyj5ae8qTqSrVRxG19k,Dvwn,Insomnia (feat. YAYYOUNG),"Dawn Defibrillation, Vol. 1",['chill r&b'],51,53,147546,210373,0.606,6,-5.211,0.0462,0.251,0.0,0.174,0.414,120.005,210373,4
